
================================Época 1==================================

Value (mG);Satellite Timestamp (UTC)
190.7692413330078;2022-07-02 01:09:24.349Z
331.5384826660156;2022-07-02 01:19:24.782Z
254.61538696289062;2022-07-02 01:24:25.061Z
204.61538696289062;2022-07-02 01:29:25.348Z
178.4615478515625;2022-07-02 01:34:25.666Z
134.61538696289062;2022-07-02 01:39:25.939Z
224.61538696289062;2022-07-02 01:49:26.507Z
221.53846740722656;2022-07-02 01:54:26.805Z
340;2022-07-02 01:59:27.102Z
279.23077392578125;2022-07-02 02:04:27.424Z
174.61538696289062;2022-07-02 02:09:27.715Z
88.46154022216797;2022-07-02 02:14:27.993Z
-13.84615421295166;2022-07-02 02:19:28.251Z
29.230770111083984;2022-07-02 02:24:28.515Z
70.76923370361328;2022-07-02 02:29:28.794Z
84.61538696289062;2022-07-02 02:34:29.087Z
260.76922607421875;2022-07-02 02:44:29.668Z
299.23077392578125;2022-07-02 02:49:29.942Z
305.3846130371094;2022-07-02 02:54:30.218Z
313.8461608886719;2022-07-02 02:59:30.475Z
179.23077392578125;2022-07-02 03:04:30.750Z
152.3076934814453;2022-07-02 03:09:31.033Z
111.53845977783203;2022-07-02 03:14:31.328Z
143.84616088867188;2022-07-02 03:19:31.630Z
248.4615478515625;2022-07-02 03:24:31.923Z
280;2022-07-02 03:29:32.171Z
303.8461608886719;2022-07-02 03:34:32.452Z
235.38461303710938;2022-07-02 03:39:32.833Z
178.4615478515625;2022-07-02 03:44:33.008Z
113.0769271850586;2022-07-02 03:49:33.289Z
55.38461685180664;2022-07-02 03:54:33.615Z
-16.153846740722656;2022-07-02 03:59:33.896Z
45.38461685180664;2022-07-02 04:04:34.166Z
116.15384674072266;2022-07-02 04:09:34.437Z
214.61538696289062;2022-07-02 04:14:34.718Z
173.84616088867188;2022-07-02 04:19:35.008Z
290;2022-07-02 04:24:35.280Z
313.0769348144531;2022-07-02 04:34:35.875Z
251.53846740722656;2022-07-02 04:39:36.183Z
211.53846740722656;2022-07-02 04:44:36.459Z
179.23077392578125;2022-07-02 04:54:37.076Z
209.23077392578125;2022-07-02 04:59:37.325Z
233.84616088867188;2022-07-02 05:04:37.624Z
244.61538696289062;2022-07-02 05:09:37.943Z
213.07691955566406;2022-07-02 05:14:38.216Z
126.15384674072266;2022-07-02 05:24:38.790Z
92.30769348144531;2022-07-02 05:29:39.073Z
30.76923179626465;2022-07-02 05:34:39.356Z
54.615386962890625;2022-07-02 05:39:39.651Z
109.23077392578125;2022-07-02 05:44:39.944Z
206.92308044433594;2022-07-02 05:49:40.254Z
216.1538543701172;2022-07-02 05:54:40.539Z
309.23077392578125;2022-07-02 05:59:40.823Z
308.4615478515625;2022-07-02 06:04:41.150Z
257.69232177734375;2022-07-02 06:09:41.489Z
203.07691955566406;2022-07-02 06:14:41.656Z
186.92308044433594;2022-07-02 06:19:41.944Z
125.3846206665039;2022-07-02 06:24:42.209Z
125.3846206665039;2022-07-02 06:29:42.479Z
149.23077392578125;2022-07-02 06:34:42.776Z
164.61538696289062;2022-07-02 06:39:43.038Z
189.23077392578125;2022-07-02 06:44:43.325Z
219.23077392578125;2022-07-02 06:49:43.602Z
224.61538696289062;2022-07-02 06:54:43.876Z
126.92308044433594;2022-07-02 07:04:44.441Z
80;2022-07-02 07:09:44.717Z
48.46154022216797;2022-07-02 07:19:45.319Z
153.84616088867188;2022-07-02 07:24:45.615Z
219.23077392578125;2022-07-02 07:29:45.933Z
293.0769348144531;2022-07-02 07:34:46.215Z
315.3846130371094;2022-07-02 07:39:46.500Z
272.3077087402344;2022-07-02 07:44:46.799Z
213.07691955566406;2022-07-02 07:49:47.098Z
144.61538696289062;2022-07-02 07:54:47.388Z
87.69230651855469;2022-07-02 07:59:47.687Z
69.23077392578125;2022-07-02 08:04:47.949Z
72.30769348144531;2022-07-02 08:09:48.223Z
105.3846206665039;2022-07-02 08:14:48.495Z
164.61538696289062;2022-07-02 08:19:48.785Z
198.4615478515625;2022-07-02 08:24:49.089Z
178.4615478515625;2022-07-02 08:29:49.370Z
161.53846740722656;2022-07-02 08:34:49.659Z
