-12303	-2071	-8533
-12295	-2071	-8525
-12289	-2071	-8519
-12284	-2071	-8517
-12283	-2071	-8514
-12279	-2071	-8509
-12279	-2071	-8510
-12276	-2071	-8506
-12274	-2071	-8505
-12274	-2071	-8505
-12273	-2070	-8503
-12270	-2071	-8500
-12269	-2071	-8499
-12269	-2071	-8499
-12269	-2071	-8498
-12267	-2071	-8498
-12266	-2071	-8496
-12266	-2072	-8496
-12267	-2071	-8496
-12266	-2071	-8494
-12264	-2071	-8494
-12264	-2071	-8494
-12261	-2072	-8491
-12261	-2071	-8491
-12261	-2071	-8491
-12260	-2071	-8490
-12261	-2071	-8491
-12260	-2071	-8490
-12260	-2071	-8490
-12259	-2072	-8490
-12256	-2071	-8488
-12257	-2072	-8487
-12256	-2071	-8487
-12378	-1935	-8514
-12391	-1914	-8514
-12713	-1317	-8366
-12771	-181	-7584
-12764	889	-7386
-12575	1574	-7245
-12454	2033	-7244
-12064	2827	-7652
-11388	3398	-8018
-10696	3689	-8188
-10164	3836	-8301
-9608	3880	-8316
-8767	3788	-8213
-7961	3448	-7953
-7162	2914	-7801
-6649	2465	-7875
-6611	2242	-7559
-6672	2066	-7249
-6616	1956	-7201
-6527	1852	-7228
-6400	1781	-7340
-6287	1694	-7448
-6167	1687	-7663
-5938	1621	-8170
-5807	1570	-8631
-5774	1552	-8769
-5760	1566	-8905
-5750	1566	-8984
-5780	1653	-9022
-5872	1870	-9086
-5974	2071	-9138
-5984	2103	-9117
-5989	2115	-9103
-6028	2201	-9084
-6209	2477	-9157
-6410	2748	-9141
-6517	2872	-9129
-6611	2984	-9204
-6688	3066	-9269
-6801	3170	-9300
-6831	3183	-9517
-6644	2977	-9797
-6822	3124	-9851
-7519	3583	-9950
-8295	3896	-10028
-8900	4026	-10039
-9549	4092	-9956
-10069	4073	-9793
-10512	4006	-9634
-11172	3775	-9420
-11794	3417	-9378
-12303	2991	-9330
-12758	2428	-9468
-13083	1877	-9687
-13272	1215	-9975
-13392	638	-10058
-13394	89	-10091
-13351	-261	-10250
-13318	-470	-10240
-13308	-637	-10167
-13289	-696	-10168
-13279	-721	-10195
-13266	-758	-10205
-13262	-777	-10200
-13263	-767	-10198
-13276	-721	-10180
-13327	-514	-10163
-13371	-224	-10103
-13420	213	-10040
-13345	948	-9849
-13166	1671	-9722
-12755	2428	-9404
-12247	3059	-9253
-11616	3545	-9003
-11003	3784	-8465
-10347	3876	-7975
-9615	3793	-7496
-8943	3665	-7274
-8308	3346	-6956
-7493	2897	-6864
-6793	2311	-6833
-6297	920	-6519
-6120	571	-6614
-6161	169	-6515
-6540	-152	-6098
-7074	-184	-5679
-7768	73	-5308
-8501	296	-5095
-9119	414	-5040
-9620	443	-5067
-10226	568	-5199
-10902	671	-5469
-11380	764	-5754
-11838	860	-6120
-12156	893	-6434
-12482	998	-6852
-12680	1042	-7160
-12808	1011	-7367
-12925	969	-7576
-12960	929	-7632
-12842	856	-7369
-12554	748	-6880
-12159	779	-6408
-11723	805	-6006
-11159	764	-5615
-10489	691	-5299
-9717	590	-5102
-8783	561	-5087
-7663	342	-5362
-6769	202	-5878
-6251	119	-6361
-6069	108	-6581
-6035	90	-6628
-6232	71	-6387
-7129	86	-5638
-8630	307	-5107
-9828	505	-5125
-10751	810	-5437
-11369	852	-5769
-11822	794	-6097
-12207	830	-6474
-12503	909	-6852
-12813	861	-7306
-13071	692	-7793
-13281	600	-8370
-13405	470	-8935
-13456	342	-9382
-13430	154	-9920
-13331	-235	-10397
-13017	-1153	-10555
-12712	-1965	-10179
-12417	-2463	-9281
-12012	-2708	-8375
-11264	-3021	-7779
-10463	-3127	-7266
-9830	-2908	-6726
-9093	-2638	-6370
-8633	-2379	-6207
-8203	-2189	-6171
-7888	-1977	-6148
-8232	-2149	-6140
-8864	-2634	-6391
-9825	-2996	-6837
-10794	-3135	-7518
-11573	-3062	-8445
-12081	-2784	-9328
-12372	-2338	-10226
-12679	-1760	-10624
-12924	-1204	-10714
-13196	-679	-10528
-13376	-123	-10031
-13436	444	-9394
-13292	923	-8701
-12987	1486	-8038
-12518	1980	-7485
-12139	2247	-7138
-11881	2305	-6873
-11778	2296	-6757
-11683	2128	-6542
-11622	1935	-6366
-11635	1806	-6302
-11779	1682	-6357
-12174	1545	-6680
-12686	1395	-7324
-13124	1024	-8054
-13331	794	-8786
-13412	514	-9423
-13376	356	-9962
-13279	74	-10476
-13142	-125	-10849
-12977	-228	-11210
-12814	-319	-11458
-12621	-334	-11720
-12418	-381	-11937
-12182	-514	-12147
-11975	-624	-12289
-11850	-624	-12380
-11737	-668	-12441
-11652	-700	-12488
-11595	-642	-12540
-11559	-575	-12572
-11677	-345	-12548
-12087	-335	-12256
-12640	-496	-11640
-13055	-878	-10764
-13167	-1114	-10071
-13089	-1456	-9704
-12669	-2152	-9710
-11979	-2894	-9793
-11042	-3463	-9903
-9771	-3679	-10502
-8718	-3485	-10915
-7821	-3040	-11237
-7382	-2722	-11354
-7587	-3010	-11117
-8366	-3635	-10426
-9375	-3853	-9934
-10527	-3727	-9092
-11409	-3314	-8894
-11350	-3348	-8932
-10341	-3782	-9285
-9052	-3856	-9819
-7811	-3366	-10656
-7201	-2507	-11501
-7074	-2101	-11813
-7119	-2126	-11837
-7106	-2145	-11803
-7322	-2060	-12049
-7618	-1731	-12446
-8104	-1321	-12859
-8006	-1783	-12615
-8063	-3449	-10800
-9025	-3913	-8656
-10455	-3529	-7905
-11802	-2776	-7996
-12772	-1808	-8414
-13266	-575	-8673
-13284	1134	-8774
-12637	2450	-8707
-11900	3196	-8498
-10827	3658	-7963
-9666	3880	-7864
-8877	3914	-8015
-8462	3876	-8163
-8142	3720	-7967
-8017	3664	-7934
-8053	3684	-7953
-8076	3697	-7963
-8091	3706	-7975
-8154	3744	-8023
-8602	3858	-8006
-9984	4004	-8395
-11405	3510	-8368
-12256	2744	-8147
-12760	1870	-7952
-13020	1203	-7906
-13115	534	-7880
-13066	-761	-7963
-12284	-2169	-7794
-11170	-3150	-7777
-10313	-3526	-7797
-9611	-3698	-7883
-9320	-3734	-7940
-9137	-3739	-7950
-9052	-3727	-7925
-9039	-3738	-7959
-9019	-3750	-7996
-9041	-3754	-8006
-9193	-3749	-7976
-9978	-3670	-7969
-11258	-3138	-7853
-12521	-1746	-7697
-13085	236	-7747
-12410	2110	-7612
-11432	3189	-7684
-10144	3795	-7779
-9418	3965	-8048
-8992	3971	-8119
-8715	3931	-8138
-8475	3845	-8043
-8340	3826	-8134
-8308	3836	-8204
-8325	3844	-8223
-8613	3863	-8089
