Rótulos de Linha;Contagem de Num;;;;;;;;;;;;;;;;;
74437;1;;;;;;;;;;;;;;;;;
74690;1;;;;;;;;;;;;;;;;;
77223;1;;;;;;;;;;;;;;;;;
78803;1;;;;;;;;;;;;;;;;;
82579;1;;;;;;;;;;;;;;;;;
84783;1;;;;;;;;;;;;;;;;;
84903;1;;;;;;;;;;;;;;;;;
85024;1;;;;;;;;;;;;;;;;;
85085;1;;;;;;;;;;;;;;;;;
85566;1;;;;;;;;;;;;;;;;;
97621;1;;;;;;;;;;;;;;;;;
106742;1;;;;;;;;;;;;;;;;;
133773;1;;;;;;;;;;;;;;;;;
150464;1;;;;;;;;;;;;;;;;;
203245;1;;;;;;;;;;;;;;;;;
235722;1;;;;;;;;;;;;;;;;;
240647;1;;;;;;;;;;;;;;;;;
266764;1;;;;;;;;;;;;;;;;;
401486;1;;;;;;;;;;;;;;;;;
424177;1;;;;;;;;;;;;;;;;;
431617;1;;;;;;;;;;;;;;;;;
645667;1;;;;;;;;;;;;;;;;;
1616542;1;;;;;;;;;;;;;;;;;
Total Geral;1967;;;;;;;;;;;;;;;;;
